Ogrid,Name,Well Count,Inactive Wells,5.9 Compliance
197142,BAKER & TAYLOR DRILLING CO,,,
195684,BAKER OIL TOOLS,,,
191310,BAKER PETROLITE INC,,,
371625,BALDEMAR TARIN DBA BT TRUCKING,,,
328565,"BAM Permian Operating, LLC",2,0,Yes
373822,BAMORI TRUCKING LLC,,,
123480,BANDERA PETROLEUM INC,,,
44932,BANDERA PETROLEUM INC,,,
45033,BANNON ENER INC & NICHOLS OIL CO,,,
45041,BANNON ENERGY INC,,,
1587,BANNON ENERGY INC,,,
195706,BANTA OILFIELD SERVICES INC,,,
371067,BAR V BARB LLC,17,3,No
1621,BARBARA FASKEN,,,
1616,BARBARA FASKEN,,,
1635,BARBER OIL INC,,,
186468,BARGO PETROLEUM CORPORATION,,,
55909,BARNEY COCKBURN,,,
154047,BARRETT RESOURCES CORPORATION,,,
273546,BARRY D LEE DBA BARRY LEE INVESTMENTS,10,5,No
196754,BARTLETT ET AL,,,
1696,BARUCH-FOSTER CORP,,,
1717,BASF CORP,,,
1706,BASF CORP,,,
262941,BASIC ENERGY SERVICES,,,
191785,BASIC ENERGY SERVICES INC,,,
246368,"BASIC ENERGY SERVICES, LP",13,2,Yes
1722,BASIC SEDIMENT AND WATER,,,
168776,BASIN ALLIANCE LLC,1,0,Yes
1739,BASIN DISPOSAL INC,1,0,Yes
30400,BASIN DISPOSAL INC,,,
1745,BASIN FUELS LTD,,,
1773,BASIN INC.,,,
1788,BASIN MINERALS INC,,,
180225,BASIN MINERALS LTD,,,
1797,BASIN MINERALS LTD,,,
233083,BASIN MINERALS OPERATING COMPANY,,,
149035,BASIN OPERATING COMPANY,,,
373004,Basin Operating Services LLC,,,
17618,BASIS PETROLEUM INC,,,
255723,BASS ENTERPRISES PRODUCTION CO.,,,
190974,"BATTLECAT OPERATING COMPANY, LLC",,,
199302,BAY PETROLEUM CORP,,,
1869,BAYTECH INC,,,
45705,BBC INTERNATIONAL INC,,,
1872,BC & D OIL & GAS CORP,,,
